6.85,0.68,3400,1100,0,Q3
0,8.26,3500,4900,0,Q5
7.35,2,92000,54000,0,Q4
5.88,0.3,92000,11000,0.5,Q4
6.14,1.7,0,0,0.5,Q3
7.46,1,200,1.8,0,Q2
5.52,2,1300,40,0,Q3
5.51,3.34,490,78,0.1,Q4
5.72,2.03,2300,780,0,Q4
8.48,1.6,200,180,0.18,Q3
8.16,1.5,23,13,0.12,Q2
4.5,2,13,7.8,0.5,Q3
5.77,1.8,49,23,0,Q3
7.12,2.2,13,7.8,0,Q4
7.19,1.8,23,7.8,0,Q3
5.55,2,33,33,0,Q3
4.78,1.8,33,33,0.19,Q4
6.92,1.9,9.3,3,0,Q3
8.5,4.7,11000,4600,0.01,Q4
2.45,2.8,1100,93,0,Q3
6.7,1.2,2400,210,0,Q3
5.37,1.3,93,3.6,0,Q2
6.8,1.5,43,23,0,Q3
9.16,2,1100,1100,0,Q3
6.98,2.3,460,460,0,Q4
7.24,1.5,90,36,0.08,Q3
7.8,1.5,230,230,0.26,Q3
9.61,2,150,90,0.4,Q4
7.8,2.9,430,430,0.18,Q3
3.4,1.4,930,230,0.19,Q2
4.86,1.8,30,30,0,Q3
3.2,1.3,90,90,0.19,Q4
4.92,1.2,2400,430,0.18,Q2
7.4,1.9,210,36,0.1,Q3
6,1.3,30,30,0.3,Q3
5.9,1.8,750,230,0.3,Q3
4.5,1.4,230,230,0,Q4
8.4,2.4,430,90,0,Q2
6.5,1.8,90,30,0.15,Q2
5.3,1.3,230,36,0.1,Q4
3.1,0.8,430,430,0.3,Q3
4.7,0.9,430,230,0.1,Q4
7.6,1,930,230,0.1,Q3
6.3,1.7,930,230,0.1,Q2
2.7,0.6,4600,2400,0.2,Q5
6.46,0.8,930,36,0.1,Q4
6.8,2,360,62,0,Q5
4.89,1.2,2400,930,0,Q4
5.32,0.7,1500,230,0,Q3
5.72,2.4,90,36,0,Q3
7.63,1.5,430,90,0.06,Q5
7,0.4,430,150,0.009,Q5
2.8,1.1,11000,1500,0,Q4
5.16,1.07,20,20,0,Q5
4.44,0.73,16000,16000,0,Q5
6,1.15,17000,2000,0.14,Q4
4.9,0.17,7000,180,0.14,Q3
5.01,1.4,1300,780,0,Q5
0,8.18,24000,2200,0,Q5
3.15,5,160000,35000,0,Q5
4.47,0.3,160000,13000,0.5,Q5
4.98,0.9,0,0,0.5,Q5
5.74,2,450,1.8,0,Q5
6.58,7,220,1.8,1.12,Q3
5.64,3.57,540,170,3.18,Q3
4.02,2.39,22000,11000,0.1,Q4
12.26,6.8,180,180,1.78,Q3
4.39,7.7,49,49,0.12,Q3
4.23,2.5,7,49,0,Q3
4.58,1.5,33,23,0,Q5
6.68,4.6,17,17,1.82,Q5
4.19,7.5,23,23,0,Q5
12.15,6.6,220,220,0,Q5
4.15,3.5,330,130,1.92,Q3
8.74,7.7,9.3,3,0,Q3
10.3,7.1,1100,43,0.01,Q4
4.75,2,2400,240,0,Q4
8.42,1.5,4600,2400,0,Q5
6.93,3.3,240,9,0,Q2
5.71,2,150,93,0,Q2
5.71,1.7,150,150,0,Q3
4.39,2,11000,1500,0,Q4
6.48,2,430,36,1.86,Q5
10.99,2.5,930,930,5.67,Q3
10.2,2,90,90,2.56,Q3
4.63,2.7,4600,1500,0.92,Q3
4,1.9,90,90,0.33,Q3
7.58,2,36,30,0.02,Q3
3.64,2.2,2400,430,0.14,Q4
7.19,3.5,210,150,0.21,Q3
3.8,2,230,90,0.8,Q5
6.8,1.5,230,230,0,Q3
7,1.4,90,36,0.3,Q3
5.8,1.9,430,430,0.1,Q5
3.7,1.8,430,73,0.03,Q3
4.4,1.6,90,36,1.16,Q3
4.6,1.5,1200,90,0,Q4
4.1,1,230,230,0.3,Q4
4.2,0.6,930,430,0.1,Q4
4.8,0.6,2400,230,0.1,Q4
4.3,1,930,230,0,Q5
3.9,1.7,4600,2400,0.3,Q5
6.35,1.7,2400,140,0,Q5
6.05,1,930,36,0,Q4
5.61,1.6,2400,930,0,Q4
5.92,1.6,2100,930,0,Q3
4.83,1.9,11000,2400,0,Q3
5,0.9,930,230,0.08,Q5
5.1,0.9,930,90,0.05,Q5
3.9,2.1,11000,430,0,Q5
4.64,2.45,20,20,0,Q5
2.15,1.73,40,40,0,Q2
4,1.26,7800,4500,0.14,Q3
8.43,7.41,3300,180,0.14,Q3
6.24,8.53,1900,2300,0,Q5
0,8.07,22000,11000,0,Q3
4,2.3,24000,7900,0,Q3
4.51,0.4,35000,24000,0.5,Q5
5.02,1.1,0,0,0.5,Q4
5.58,1,200,1.8,0,Q4
5.31,1,20,20,0,Q5
12.45,7.99,130,130,0,Q3
4.53,2.03,4900,1100,0,Q3
5.28,1,680,180,0.24,Q3
6.14,1.2,23,13,0.1,Q3
4.5,0.9,4.5,4.5,0,Q3
5.48,1.5,23,7.8,0,Q3
4.7,2.1,4.5,4.5,0,Q3
7.42,2,13,7.8,0,Q3
4.75,2,170,170,0,Q5
4.72,1.2,110,46,0.21,Q5
7.12,3.8,3,3,0,Q5
12.05,2.3,43,23,0.01,Q5
2.1,1,93,23,0,Q5
7.35,1.3,2400,1100,0,Q3
5.86,1.3,240,7.3,0,Q5
5.14,1.4,43,9,0,Q5
5.32,1.3,240,240,0,Q4
4.17,2,1100,23,0,Q4
5.51,2,90,36,0.29,Q5
5.35,1.9,750,36,0.43,Q5
11.5,2,430,36,0.49,Q4
5.11,2.9,4600,1500,2.68,Q5
5,2,930,230,0.81,Q5
8.35,2.5,150,30,3.64,Q5
3.01,2.5,930,230,0.7,Q4
3.2,2.5,2400,2400,0.65,Q5
4.7,2,230,30,0.2,Q4
5.5,3.6,430,90,5.3,Q5
7.5,2.4,2400,2400,2.6,Q4
3,2,2400,2400,0.2,Q3
4.6,2.2,36,36,0.13,Q5
